Region,Atmospheric Conditions,Fatalities in crash,Roadway,Roadway Area,Roadway Type,Road Type - Category,Age,Alcohol Results,Driver Over Federal Limit?,Person Type,Drug Involvement,Race,Gender,Injury Severity,Crash Date.month
West,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,41,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
West,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,69,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
West,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,75,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Cloudy,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,59,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Cloudy,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,Unknown,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Unknown,Unknown,1
West,Clear,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,61,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
West,Cloudy,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,24,0.16,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
West,Cloudy,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,21,0.11,No,Pedestrian,Unknown,Unknown,Female,Fatal Injury (K),1
Northeast,Clear,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,22,0.21,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,0,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Rain,1,Urban-Minor Arterial,Urban,Minor Arterial,Unknown,70,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),1
South,Rain,1,Urban-Minor Arterial,Urban,Minor Arterial,Unknown,7,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,"Fog, Smog, Smoke",1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,23,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Incapacitating Injury (A),1
South,"Fog, Smog, Smoke",1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,24,0.03,No,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),1
South,Cloudy,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,23,0.08,Yes,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),1
South,"Fog, Smog, Smoke",1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,25,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Incapacitating Injury (A),1
South,Rain,1,Urban-Minor Arterial,Urban,Minor Arterial,Unknown,44,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Rain,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,49,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
South,Rain,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,54,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),1
West,Clear,1,Rural-Major Collector,Rural,Major Collector,Unknown,16,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Clear,1,Rural-Major Collector,Rural,Major Collector,Unknown,70,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Clear,2,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,0,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,19,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,26,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,12,0,No,Passenger of a Motor Vehicle In-Transport,Unknown,Other Asian or Pacific Islander,Male,Fatal Injury (K),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,14,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,17,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,21,0.18,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Incapacitating Injury (A),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,29,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,34,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Incapacitating Injury (A),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,42,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Filipino,Female,Fatal Injury (K),1
West,Clear,2,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,48,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,43,0.21,No,Passenger of a Motor Vehicle In-Transport,Unknown,Hawaiian (includes Part-Hawaiian),Male,Fatal Injury (K),1
West,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,46,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
Midwest,Clear,1,Rural-Major Collector,Rural,Major Collector,Unknown,18,0.17,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,8,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Incapacitating Injury (A),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,61,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Incapacitating Injury (A),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,61,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,66,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Incapacitating Injury (A),1
Midwest,Clear,1,Urban-Minor Arterial,Urban,Minor Arterial,Unknown,27,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Rain,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,25,0.09,Yes,Driver of a Motor Vehicle In-Transport,Yes,Black,Male,Fatal Injury (K),1
Midwest,Cloudy,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,20,0.19,Yes,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),1
Midwest,Rain,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,33,0,No,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Incapacitating Injury (A),1
Midwest,Clear,1,Urban-Collector,Urban,Collector,Unknown,29,0.16,Yes,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,7,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,18,0,No,Passenger of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,20,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,28,0.12,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,37,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,8,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
South,Clear,2,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,33,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,46,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,36,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,70,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Incapacitating Injury (A),1
South,Clear,1,Rural-Minor Collector,Rural,Minor Collector,Unknown,17,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Black,Female,Fatal Injury (K),1
South,Clear,1,Rural-Minor Collector,Rural,Minor Collector,Unknown,34,0.22,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Rain,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,41,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,25,0,No,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,No Injury (O),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,41,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,11,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,34,0.27,No,Pedestrian,Yes,White,Female,Fatal Injury (K),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,41,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
South,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,49,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,No Injury (O),1
South,Cloudy,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,32,0.13,No,Pedestrian,Unknown,White,Male,Fatal Injury (K),1
South,Cloudy,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,36,0.11,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
South,Rain,1,Rural-Major Collector,Rural,Major Collector,Unknown,84,0,No,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),1
South,Rain,1,Rural-Major Collector,Rural,Major Collector,Unknown,48,0.2,Yes,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Incapacitating Injury (A),1
South,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,30,0.17,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),1
Midwest,Rain,1,Rural-Major Collector,Rural,Major Collector,Unknown,75,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,No Injury (O),1
Midwest,Rain,1,Rural-Major Collector,Rural,Major Collector,Unknown,42,0.22,No,Pedestrian,No,White,Male,Fatal Injury (K),1
Midwest,Rain,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,Unknown,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Unknown,No Injury (O),1
Midwest,Rain,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,43,Unknown,Unknown,Pedestrian,No,White,Male,Fatal Injury (K),1
South,Clear,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,20,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
South,Clear,1,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,21,0.14,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),1
Midwest,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,31,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
Midwest,Cloudy,1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,31,0.21,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,39,0.14,Yes,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,52,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,56,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,59,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Non-incapacitating Evident Injury (B),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,59,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,79,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),1
Northeast,Clear,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,29,Unknown,Unknown,Pedestrian,Unknown,Unknown,Male,Incapacitating Injury (A),1
Northeast,Clear,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,42,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
Northeast,Clear,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,23,0.16,No,Pedestrian,No,White,Female,Fatal Injury (K),1
West,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,30,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
West,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,32,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,32,0,No,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,19,0,No,Pedestrian,Unknown,White,Male,Fatal Injury (K),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,27,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Male,No Injury (O),1
West,Clear,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,32,0,No,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
Northeast,"Fog, Smog, Smoke",1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,44,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Female,No Injury (O),1
Northeast,"Fog, Smog, Smoke",1,Rural-Principal Arterial-Interstate,Rural,Principal Arterial,Interstate,32,0.18,No,Pedestrian,Unknown,White,Male,Fatal Injury (K),1
Northeast,Clear,1,Urban-Local Road or Street,Urban,Local Road or Street,Unknown,Unknown,Unknown,Unknown,Pedestrian,Unknown,Unknown,Male,Fatal Injury (K),1
South,Cloudy,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,41,0.11,Yes,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),1
South,Rain,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,69,0.04,No,Driver of a Motor Vehicle In-Transport,Yes,White,Male,Fatal Injury (K),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,23,0,No,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),1
South,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,Unknown,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Unknown,Unknown,Unknown,1
South,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,17,0.19,Yes,Driver of a Motor Vehicle In-Transport,No,Black,Male,Fatal Injury (K),1
South,Clear,1,Rural-Minor Arterial,Rural,Minor Arterial,Unknown,50,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Cloudy,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,21,0.06,No,Passenger of a Motor Vehicle In-Transport,Unknown,Black,Male,Fatal Injury (K),1
Midwest,Cloudy,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,22,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Incapacitating Injury (A),1
Midwest,Cloudy,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,25,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Incapacitating Injury (A),1
Midwest,Cloudy,1,Urban-Other Principal Arterial,Urban,Other Principal Arterial,Unknown,35,0.18,Yes,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Non-incapacitating Evident Injury (B),1
Midwest,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,8,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
Midwest,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,24,0.23,Yes,Driver of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,25,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,27,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Rain,1,Urban-Principal Arterial-Interstate,Urban,Principal Arterial,Interstate,7,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Non-incapacitating Evident Injury (B),1
Midwest,Clear,2,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,39,0.1,No,Passenger of a Motor Vehicle In-Transport,Unknown,White,Female,Fatal Injury (K),1
Midwest,Clear,2,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,48,0.22,Yes,Driver of a Motor Vehicle In-Transport,No,White,Male,Fatal Injury (K),1
Midwest,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,56,Unknown,Unknown,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Non-incapacitating Evident Injury (B),1
Midwest,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,12,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Possible Injury (C),1
Midwest,Clear,1,Rural-Principal Arterial-Other,Rural,Principal Arterial,Other,23,0,No,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),1
Midwest,Clear,2,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,41,0.18,Yes,Driver of a Motor Vehicle In-Transport,No,White,Female,Fatal Injury (K),1
Midwest,Clear,2,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,16,0.24,No,Passenger of a Motor Vehicle In-Transport,Unknown,White,Male,Fatal Injury (K),1
Midwest,Clear,2,Urban-Principal Arterial-Other Freeways or Expressways,Urban,Principal Arterial,Other Freeways or Expressways,37,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Incapacitating Injury (A),1
Northeast,Clear,2,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,18,0.16,Yes,Driver of a Motor Vehicle In-Transport,No,Unknown,Female,Fatal Injury (K),1
Northeast,Clear,2,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,20,0.15,No,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Female,Fatal Injury (K),1
Northeast,Clear,1,Rural-Local Road or Street,Rural,Local Road or Street,Unknown,26,0.06,No,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
Northeast,Clear,1,Rural-Major Collector,Rural,Major Collector,Unknown,21,0.27,Yes,Driver of a Motor Vehicle In-Transport,No,Unknown,Male,Fatal Injury (K),1
Northeast,Clear,1,Urban-Collector,Urban,Collector,Unknown,40,Unknown,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Unknown,Male,Fatal Injury (K),1
Northeast,Clear,1,Urban-Collector,Urban,Collector,Unknown,46,0.15,Yes,Driver of a Motor Vehicle In-Transport,Yes,Unknown,Female,Non-incapacitating Evident Injury (B),1
